X,Y,OBJECTID,STN_ID,STN_DESC,DNV_STN_ADDR_STR,STN_ADDR_ADDL_STR2,DMV_ADDR_REF,DMV_STN_ZPCD,DMV_STN_POFC_NM,DMV_STN_TERR_ABBR,DMV_WI_CNTY_NM,STN_LOC_LNGT_DEG,STN_LOC_LAT_DEG,FLD_SC_NM
672989.5369,446799.9608,108,GB01,GREEN BAY,942 Vanderperren Way,,,54304,Green Bay,WI,Brown,-88.076269,44.478312,Green Bay service center
306177.4937,500620.4027,109,HD01,HUDSON,"Business Park, Suite 100",2100 O'Neil Road,,54016,Hudson,WI,St. Croix,-92.710449,44.94685,Hudson service center
320500.5341,519676.1502,110,HD05,NEW RICHMOND,Civic Center,156 E. 1st Street,,54017,New Richmond,WI,St. Croix,-92.536636,45.122383,New Richmond service center
604182.5238,244861.493100001,111,JS01,JANESVILLE,645 S. Wright Road,,(near HWY 11/14 about 1/2 mile E of I90),53546,Janesville,WI,Rock,-88.97265,42.671621,Janesville service center
547941.6357,236783.934800001,112,JS02,MONROE,815 1st Avenue,,,53566,Monroe,WI,Green,-89.659378,42.602978,Monroe service center
691164.8479,237660.5463,113,KE01,KENOSHA,"4911 88th Avenue, Suite A",,(near the corner of Hwy H & State 158),53144,Kenosha,WI,Kenosha,-87.91381,42.592382,Kenosha service center
425273.4693,379029.785,114,LAX1,LA CROSSE,9477 Hwy 16 East,,,54650,Onalaska,WI,La Crosse,-91.179099,43.878283,La Crosse area service center
433080.8904,556721.625499999,115,LD01,LADYSMITH,"North Business Center, Suite 1",N5273 Hwy 27,,54848,Ladysmith,WI,Rusk,-91.112119,45.47861,Ladysmith service center
493917.3093,517708.376800001,116,LD02,MEDFORD,624 S. 8th Street,,,54451,Medford,WI,Taylor,-90.331699,45.132367,Medford service center
372604.7623,594441.725,117,LD03,SPOONER,W7074 Green Valley Road,,,54801,Spooner,WI,Washburn,-91.896988,45.807789,Spooner service center
488945.9628,579257.4516,118,LD04,PHILLIPS,Municipal Center,174 S. Eyder Avenue,,54555,Phillips,WI,Price,-90.398799,45.686173,Phillips service center
446395.3295,498903.7381,119,LD05,STANLEY,"Fire Hall, 239 E. 1st Avenue",,,54768,Stanley,WI,Chippewa,-90.933235,44.959759,Stanley service center
558358.0256,289678.5241,120,MA01,MADISON WEST,8417 Excelsior Drive,,,53717,Madison,WI,Dane,-89.528795,43.078848,Madison West service center
690150.1362,282270.2382,121,MBC1,MILWAUKEE CENTRAL - CHASE AVE.,2701 S. Chase Avenue,,,53207,Milwaukee,WI,Milwaukee,-87.912716,42.99407,Milwaukee-Central service center
575143.7136,294995.071799999,122,ME01,MADISON EAST,2001 Bartillon Drive,,,53704,Madison,WI,Dane,-89.322077,43.125685,Madison East service center
506422.6362,465335.1753,123,MF01,MARSHFIELD,503 S. Cherry Avenue,,,54449,Marshfield,WI,Wood,-90.171262,44.661252,Marshfield service center
494756.5595,497128.928099999,124,MF02,ABBOTSFORD,City Hall,203 N. 1st Street,,54405,Abbotsford,WI,Clark,-90.319992,44.947147,Abbotsford service center
689476.0996,287408.690099999,125,MIL1,MILWAUKEE DOWNTOWN,819 N. 6th Street,,,53203,Milwaukee,WI,Milwaukee,-87.919418,43.040462,Milwaukee-Downtown service center
542757.6758,599704.3377,126,MI01,MINOCQUA,Community Center,415 Menominee Street,,54548,Minocqua,WI,Oneida,-89.706779,45.870529,Minocqua service center
544548.8253,523040.351600001,127,ML01,MERRILL,"100 S. Mill Street, Suite 103",,,54452,Merrill,WI,Lincoln,-89.687545,45.180418,Merrill service center
686414.4327,297082.2019,128,MNE1,MILWAUKEE NE - TEUTONIA AVE.,6073 N. Teutonia Ave.,,,53209,Milwaukee,WI,Milwaukee,-87.954085,43.128193,Milwaukee-Northeast service center
682483.7837,297606.6073,129,MNW1,MILWAUKEE NW - MILL RD.,7301 W. Mill Road,,,53218,Milwaukee,WI,Milwaukee,-88.002226,43.133766,Milwaukee-Northwest service center
